OTUID	B3	X18	X42	X22	X9	B1	X10	B8	X20	B7	C	X39	B11	X4	B10	X29	X2	B9	X19	B5	X33	X16	X40	D	X1	X17	B6	X3	X27	X12	X15	B4	X7	B2	X26	X13	X34	X32	X36	X35	X6	X5	X37	X21	X25	X23	B	X8	X11	X28	X24	taxonomy
EU559331.1.1470	15430.0	0.0	0.0	0.0	16.0	10988.0	36.0	6037.0	0.0	10771.0	0.0	0.0	7236.0	1.0	2295.0	72.0	0.0	8442.0	4.0	11902.0	75.0	0.0	732.0	0.0	0.0	0.0	5059.0	0.0	556.0	481.0	1.0	14637.0	1.0	4011.0	0.0	0.0	0.0	732.0	16.0	0.0	0.0	100.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Epsilonbacteraeota; D_2__Campylobacteria; D_3__Campylobacterales; D_4__Campylobacteraceae; D_5__Campylobacter; Ambiguous_taxa
FJ470514.1.1503	0.0	65.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Actinomycetales; D_4__Actinomycetaceae; D_5__Actinomyces
JRJC01000023.11.1813	1252.0	46.0	32.0	157.0	157.0	58.0	179.0	65.0	20.0	30.0	17.0	274.0	23.0	4.0	12.0	6.0	12.0	34.0	320.0	190.0	109.0	127.0	42.0	13.0	1.0	93.0	196.0	6.0	692.0	172.0	5.0	5.0	93.0	103.0	314.0	25.0	222.0	28.0	15.0	6.0	37.0	74.0	16.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; Ambiguous_taxa; Ambiguous_taxa
AYSG01000002.292.2076	0.0	27.0	64.0	143.0	28.0	29.0	0.0	8.0	21.0	0.0	23.0	64.0	18.0	0.0	0.0	2.0	9.0	23.0	148.0	79.0	0.0	1.0	2.0	2.0	4.0	81.0	63.0	1.0	0.0	37.0	1.0	13.0	0.0	42.0	0.0	0.0	18.0	26.0	11.0	33.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Streptococcaceae; D_5__Streptococcus; Ambiguous_taxa
JRPL01000001.1774427.1775927	1.0	0.0	0.0	1.0	14899.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	5993.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Epsilonbacteraeota; D_2__Campylobacteria; D_3__Campylobacterales; D_4__Helicobacteraceae; D_5__Helicobacter; Ambiguous_taxa
AF224288.1.1535	0.0	522.0	0.0	27.0	0.0	0.0	0.0	16.0	0.0	4.0	46.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	33.0	0.0	0.0	31.0	0.0	7.0	8.0	0.0	9.0	9.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pasteurellales; D_4__Pasteurellaceae
AMYT01000015.54.1603	10128.0	1864.0	6278.0	11.0	9.0	1.0	187.0	15.0	77.0	119.0	9198.0	828.0	253.0	5901.0	2803.0	338.0	8489.0	76.0	103.0	34.0	2740.0	7227.0	3754.0	13404.0	5173.0	5081.0	59.0	4341.0	2.0	18.0	6055.0	56.0	263.0	1.0	393.0	7981.0	3382.0	698.0	5913.0	1948.0	4939.0	4211.0	5582.0	0.0	23.0	0.0	0.0	0.0	1.0	1.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Enterococcaceae
HK555632.10.1532	635.0	367.0	363.0	721.0	210.0	174.0	472.0	147.0	398.0	73.0	378.0	292.0	62.0	11.0	10.0	26.0	57.0	108.0	682.0	245.0	334.0	215.0	85.0	6.0	33.0	142.0	380.0	4.0	368.0	865.0	5.0	47.0	381.0	149.0	260.0	176.0	310.0	338.0	167.0	494.0	232.0	148.0	68.0	71.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Bifidobacteriales; D_4__Bifidobacteriaceae; D_5__Bifidobacterium; Ambiguous_taxa
CCPS01000022.154.1916	223.0	60.0	204.0	405.0	181.0	95.0	144.0	896.0	245.0	19.0	92.0	65.0	9.0	4.0	1.0	14786.0	12.0	29.0	78.0	60.0	5.0	0.0	29.0	8.0	5.0	81.0	213.0	0.0	117.0	20.0	2.0	44.0	184.0	100.0	130.0	51.0	118.0	154.0	13.0	116.0	12.0	23.0	6.0	60.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella; D_6__Escherichia coli
EF528273.1.1512	155.0	61.0	35.0	118.0	35.0	28.0	0.0	76.0	23.0	6.0	76.0	658.0	34.0	0.0	2.0	41.0	25.0	20.0	12.0	216.0	91.0	59.0	5.0	1.0	3.0	39.0	135.0	8.0	292.0	200.0	2.0	40.0	193.0	13.0	30.0	0.0	32.0	24.0	1.0	93.0	83.0	31.0	9.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU999001.1.1609	11.0	0.0	1.0	38.0	494.0	194.0	47.0	155.0	1108.0	0.0	12.0	37.0	5.0	0.0	4.0	3.0	0.0	5.0	9.0	357.0	0.0	22.0	3.0	0.0	0.0	0.0	5.0	2.0	226.0	1116.0	0.0	100.0	18.0	545.0	95.0	0.0	71.0	0.0	0.0	0.0	8.0	26.0	4.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Comamonas
FPLL01000761.10.1526	11.0	0.0	0.0	0.0	29.0	1.0	13.0	0.0	0.0	0.0	0.0	304.0	8.0	0.0	3.0	1.0	0.0	0.0	38.0	25.0	0.0	2.0	1.0	0.0	0.0	0.0	4.0	0.0	16.0	228.0	1.0	0.0	7.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; Ambiguous_taxa; Ambiguous_taxa
OTU_dn_19	48.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned;Unassigned;Unassigned;Unassigned;Unassigned;Unassigned;Unassigned
AGYU01000014.10038.11557	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	7.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Lachnospiraceae; D_5__Hungatella; Ambiguous_taxa
JQNF01000007.278620.280162	99.0	28.0	0.0	0.0	10.0	0.0	112.0	0.0	24.0	0.0	0.0	8.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	61.0	22.0	8.0	0.0	0.0	12.0	0.0	0.0	18.0	0.0	0.0	9.0	23.0	0.0	18.0	0.0	55.0	0.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Carnobacteriaceae; D_5__Carnobacterium; Ambiguous_taxa
