# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Treatment	All between Treatment	-20.7695816509	9.52289399787336e-83	6.285110038596417e-81	N/A	N/A
All within Treatment	Control vs. Control	9.44515921478	0.0	0.0	N/A	N/A
All within Treatment	No Tx vs. No Tx	4.74573376358	2.8811444434673206e-06	0.00019015553326884316	N/A	N/A
All within Treatment	Recovery vs. Recovery	-0.699272102096	0.4848310520528676	1	N/A	N/A
All within Treatment	Experimental vs. Experimental	-11.6672604889	5.146401393687793e-28	3.3966249198339434e-26	N/A	N/A
All within Treatment	Control vs. No Tx	-10.1052320991	4.212437297230816e-22	2.7802086161723385e-20	N/A	N/A
All within Treatment	Control vs. Recovery	-0.201987189571	0.8400207333358597	1	N/A	N/A
All within Treatment	Control vs. Experimental	-17.6226035757	3.1588499405901284e-57	2.0848409607894847e-55	N/A	N/A
All within Treatment	No Tx vs. Recovery	-5.21596232345	2.917768352604528e-07	1.9257271127189885e-05	N/A	N/A
All within Treatment	No Tx vs. Experimental	-13.9970432487	2.6884652825435887e-38	1.7743870864787686e-36	N/A	N/A
All within Treatment	Recovery vs. Experimental	-7.83456406759	3.534897458246461e-14	2.3330323224426644e-12	N/A	N/A
All between Treatment	Control vs. Control	40.5082062003	0.0	0.0	N/A	N/A
All between Treatment	No Tx vs. No Tx	23.4458438386	0.0	0.0	N/A	N/A
All between Treatment	Recovery vs. Recovery	4.36096543402	1.4396499655955353e-05	0.0009501689772930533	N/A	N/A
All between Treatment	Experimental vs. Experimental	-3.43625782428	0.0006124206640088846	0.04041976382458638	N/A	N/A
All between Treatment	Control vs. No Tx	1.47260666649	0.1411416328591093	1	N/A	N/A
All between Treatment	Control vs. Recovery	16.0840856341	0.0	0.0	N/A	N/A
All between Treatment	Control vs. Experimental	-6.8275476524	1.3560788529902932e-11	8.950120429735935e-10	N/A	N/A
All between Treatment	No Tx vs. Recovery	2.19667233278	0.028278852623057293	1	N/A	N/A
All between Treatment	No Tx vs. Experimental	-4.97496432431	7.551068833368869e-07	4.983705430023453e-05	N/A	N/A
All between Treatment	Recovery vs. Experimental	-0.022470715889	0.982076914283629	1	N/A	N/A
Control vs. Control	No Tx vs. No Tx	-2.11786247354	0.035493881630065664	1	N/A	N/A
Control vs. Control	Recovery vs. Recovery	-6.57297059535	8.441314080561814e-10	5.571267293170798e-08	N/A	N/A
Control vs. Control	Experimental vs. Experimental	-34.2590102137	2.0519366668426985e-103	1.354278200116181e-101	N/A	N/A
Control vs. Control	Control vs. No Tx	-28.5417404683	4.450852323424402e-90	2.9375625334601055e-88	N/A	N/A
Control vs. Control	Control vs. Recovery	-12.8630048538	1.4110831533767317e-28	9.313148812286429e-27	N/A	N/A
Control vs. Control	Control vs. Experimental	-56.4419824144	1.2629092129162296e-203	8.335200805247116e-202	N/A	N/A
Control vs. Control	No Tx vs. Recovery	-21.5187686948	1.0284101317111033e-52	6.787506869293281e-51	N/A	N/A
Control vs. Control	No Tx vs. Experimental	-47.3146118603	1.2943171506669964e-149	8.542493194402176e-148	N/A	N/A
Control vs. Control	Recovery vs. Experimental	-26.4930575981	5.746546266873705e-71	3.7927205361366453e-69	N/A	N/A
No Tx vs. No Tx	Recovery vs. Recovery	-4.00338430291	0.00016713766126320393	0.01103108564337146	N/A	N/A
No Tx vs. No Tx	Experimental vs. Experimental	-21.356648988	3.955762028472697e-54	2.61080293879198e-52	N/A	N/A
No Tx vs. No Tx	Control vs. No Tx	-17.0828478412	2.3630309789947456e-43	1.559600446136532e-41	N/A	N/A
